name,latitude,longitude,district,neighborhood,district_id,neighborhood_id,bakery_type,is_chain,brand_name,street,house_number,postal_code,opening_hours,website,data_source,source_ids
Family Bakery,52.5359685,13.4341871,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Danziger Straße,123,10407,,,OSM,node/1336954996
Schäfer's,52.4154818,13.4061653,Neukölln,Buckow,neukölln,buckow,chain,True,Schäfer's,Marienfelder Chaussee,143,12349,Mo-Sa 07:00-19:00; Su 08:00-11:00,,OSM,node/1340883140
Feinbäckerei Schubbert,52.5188323,13.4387255,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,artisanal,False,,Palisadenstraße,58,10243,Mo-Fr 06:00-18:00; Sa 06:30-11:30,,OSM,node/1346323982
Bereket Bäckerei,52.4682671,13.4299149,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,Emser Straße,,12051,,,OSM,node/1348552198
Bafra,52.5017067,13.4320988,Friedrichshain-Kreuzberg,Kreuzberg,friedrichshain-kreuzberg,kreuzberg,artisanal,False,,Eisenbahnstraße,3,10997,,,OSM,node/1348720480
Vita,52.5500113,13.4217202,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,,,,"Mo-Fr 06:00-19:00; Sa,Su 07:00-19:00",,OSM,node/1352734433
Löwenbäcker,52.5422376,13.4895731,Lichtenberg,Alt-Hohenschönhausen,lichtenberg,alt-hohenschönhausen,artisanal,False,,,,,Mo-Fr 06:00-16:30,,OSM,node/1359917695
Thoben,52.5429499,13.2404438,Spandau,Haselhorst,spandau,haselhorst,artisanal,False,,,,,06:00-18:00; Sa 06:00-14:00; Su off,http://www.thobens-backwaren.de/spandau_nauen/spandau_gartenfelder_str_91_93.shtml,OSM,node/1365702039
Café / Bäckerei Aura,52.5355273,13.4327252,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Greifswalder Straße,46,10405,Su-Fr 05:00-19:00; Sa 05:00-18:00,,OSM,node/1383599516
La Maison,52.476987,13.4224107,Neukölln,Neukölln,neukölln,neukölln,chain,True,à la maison GmbH,Herrfurthplatz,14,12049,Mo-Su 08:00-18:00,https://www.lamaison.berlin/,OSM,node/1386424940
Nicolai,52.5147227,13.4594785,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,chain,True,Bäckerei & Konditorei Nicolai,Niederbarnimstraße,2,10247,"Mo-Fr 07:30-18:30; Sa,Su 08:00-18:30; PH 08:00-18:00",,OSM,node/1390638285
Wiedemann,52.4565683,13.3210377,Steglitz-Zehlendorf,Steglitz,steglitz-zehlendorf,steglitz,artisanal,False,,,,,Mo-Fr 06:30-19:00; Sa 06:30-14:00,https://baecker-wiedemann.de/,OSM,node/1391486692
Backschloss,52.4563231,13.3219985,Steglitz-Zehlendorf,Steglitz,steglitz-zehlendorf,steglitz,artisanal,False,,,,,,,OSM,node/1391486693
Feinbäckerei,52.5539547,13.4685538,Pankow,Weißensee,pankow,weißensee,artisanal,False,,,,,Mo-Fr 05:30-17:00; Sa 05:30-12:00,,OSM,node/1391516592
Thoben,52.457818,13.3219011,Steglitz-Zehlendorf,Steglitz,steglitz-zehlendorf,steglitz,artisanal,False,,Schloßstraße,89,12163,"Mo-Sa 08:00-18:00; Su,PH 09:00-18:00",https://www.thobens-backwaren.de/zehlendorf_steglitz_lankwitz/steglitz_schlossstr_89.shtml,OSM,node/1391614296
Bäckerei Johann Mayer,52.4786229,13.3458435,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,chain,True,Bäckerei & Konditorei Johann Mayer OHG,Ebersstraße,42,10827,Mo-Fr 06:00-18:00; Sa 07:00-13:00; Su 08:00-12:30,https://www.johann-mayer.de/,OSM,node/1392695509
Beumer & Lutum,52.5371113,13.4285347,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,chain,True,Beumer & Lutum GmbH,Winsstraße,34,10405,Mo-Fr 07:00-17:00; Sa 07:00-13:00,,OSM,node/1401087609
Backshop Frisch & Lecker,52.5475858,13.201155,Spandau,Spandau,spandau,spandau,artisanal,False,,Schönwalder Straße,91,13585,,,OSM,node/1405819937
Ihr Meisterbäcker,52.5243479,13.3359982,Mitte,Moabit,mitte,moabit,artisanal,False,,Elberfelder Straße,2,10555,Mo off; Tu-Th 06:30-19:00; Fr 06:30-17:00; Sa 06:30-13:00; Su 07:00-12:00,,OSM,node/1405879358
Tanjas Backparadies,52.5463495,13.2618377,Spandau,Siemensstadt,spandau,siemensstadt,artisanal,False,,,,,,,OSM,node/1408624062
Köşgeroğlu,52.4814507,13.4399064,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,Erkstraße,14,12043,"Su-Th 08:00-22:00; Fr,Sa 08:00-23:00",,OSM,node/1416202586
Thoben's Backwaren,52.536462,13.2667994,Spandau,Siemensstadt,spandau,siemensstadt,artisanal,False,,Nonnendammallee,82A,13629,Mo-Fr 06:00-18:00; Sa 06:00-13:00,http://www.thobens-backwaren.de/,OSM,node/1419263147
Ringbäckerei Okutucu,52.5391139,13.2728079,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,charlottenburg-wilmersdorf,charlottenburg-nord,artisanal,False,,Goebelstraße,113,13627,,,OSM,node/1420878018
Öz Ege,52.4820334,13.4234226,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,,,,Mo-Sa 05:00-21:00,,OSM,node/1425707931
Backwerk,52.5202007,13.3883934,Mitte,Mitte,mitte,mitte,chain,True,BackWerk,,,,Mo-Fr 06:00-20:00,,OSM,node/1433073541
Backshop,52.4884643,13.3009458,Charlottenburg-Wilmersdorf,Halensee,charlottenburg-wilmersdorf,halensee,artisanal,False,,,,,Mo-Fr 05:00-15:30,,OSM,node/1437630991
Schäfer's,52.5288435,13.3777462,Mitte,Mitte,mitte,mitte,chain,True,Schäfer's,Invalidenstraße,97,10115,Mo-Fr 06:00-18:00; Sa 07:00-17:00; Su 08:00-17:00,https://www.schaefers-brot.de/,OSM,node/1440942901
Steinecke,52.5139262,13.554356,Marzahn-Hellersdorf,Biesdorf,marzahn-hellersdorf,biesdorf,chain,True,Steinecke,,,,Mo-Fr 06:30-18:00; Sa 06:30-12:00; Su 07:00-10:00,,OSM,node/1445299275
Back Shop,52.4455806,13.4453943,Neukölln,Britz,neukölln,britz,artisanal,False,,,,,"Mo-Fr 06:00-17:00; Sa,Su 08:00-12:00",,OSM,node/1446390435
Bäckerei Grubert,52.5101441,13.5174053,Lichtenberg,Friedrichsfelde,lichtenberg,friedrichsfelde,artisanal,False,,Alt-Friedrichsfelde,90,10315,"Mo-Fr 06:00-17:00, Sa 06:00-11:00",,OSM,node/1453876088
S-Bar Moltke 52,52.4471923,13.3066353,Steglitz-Zehlendorf,Lichterfelde,steglitz-zehlendorf,lichterfelde,artisanal,False,,Moltkestraße,52,12203,Mo-Fr 06:00-14:00; Sa 07:00-12:00; Su off,,OSM,node/1455112119
Stern,52.5116647,13.2812595,Charlottenburg-Wilmersdorf,Westend,charlottenburg-wilmersdorf,westend,artisanal,False,,Königin-Elisabeth-Straße,13,14059,Mo-Fr 04:00-18:00; Su 05:00-16:00,,OSM,node/1469024216
Mehlwurm,52.4856733,13.4300431,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,Pannierstraße,2,12043,Mo-Fr 07:30-19:00; Sa 07:30-16:00,https://www.mehlwurm.de/,OSM,node/1472171258
La Baguette,52.5417124,13.4223625,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Raumerstraße,31,10437,,,OSM,node/1489967324
Beumer & Lutum,52.5325268,13.4309034,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Hufelandstraße,9,10407,Mo-Fr 07:00-19:00; Sa 07:00-17:00; Su 08:00-17:00,,OSM,node/1492336684
Bäckerei Schnell,52.6045061,13.4319777,Pankow,Französisch Buchholz,pankow,französisch_buchholz,artisanal,False,,,,,"Mo-Fr 06:00-18:00; Sa 07:00-14:00; PH,Su 08:00-16:00",https://www.schnell.berlin,OSM,node/1493309770
Der Bäcker Feihl,52.5067146,13.5583089,Marzahn-Hellersdorf,Biesdorf,marzahn-hellersdorf,biesdorf,artisanal,False,,,,,,,OSM,node/1503814097
Bäckerei Schneeglöckchen,52.460121,13.4300978,Neukölln,Britz,neukölln,britz,artisanal,False,,Germaniapromenade,33,12347,"Mo-Fr 05:30-17:30; Sa,Su 06:30-15:00",,OSM,node/1507945387
Hofpfisterei,52.5028492,13.3428267,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,chain,True,Hofpfisterei,,,,Mo-Fr 08:00-19:00; Sa 09:00-15:00,,OSM,node/1516265394
Bäckerei Zwillinge,52.4671684,13.5110527,Treptow-Köpenick,Oberschöneweide,treptow-köpenick,oberschöneweide,artisanal,False,,,,,Mo-Su 06:00-19:00,,OSM,node/1532601420
Feinbäckerei Hollschewski,52.4829064,13.5260394,Lichtenberg,Karlshorst,lichtenberg,karlshorst,artisanal,False,,Treskowallee,103,10318,Mo-Fr 06:30-18:30; Sa 07:00-17:00; Su 07:00-17:00,http://www.hollschewski.de,OSM,node/1542476277
Bäckerei,52.550113,13.4462014,Pankow,Weißensee,pankow,weißensee,artisanal,False,,Behaimstraße,23,,Mo-Sa 05:30-18:00; Su 06:30-18:00,,OSM,node/1545892063
Tempelhofer Backhaus,52.4466914,13.3722204,Tempelhof-Schöneberg,Mariendorf,tempelhof-schöneberg,mariendorf,artisanal,False,,Gersdorfstraße,39,12105,,,OSM,node/1554257362
Dresdner Feinbäckerei,52.4540912,13.624828,Treptow-Köpenick,Friedrichshagen,treptow-köpenick,friedrichshagen,artisanal,False,,Bölschestraße,89,12587,"Tu-Fr 06:00-18:30; Sa 06:00-14:00; Su,Mo off",https://www.dresdner-feinbaeckerei.de/,OSM,node/1559866473
Wiedemann,52.484338,13.3843727,Tempelhof-Schöneberg,Tempelhof,tempelhof-schöneberg,tempelhof,artisanal,False,,Manfred-von-Richthofen-Straße,4,12101,Mo-Fr 06:00-17:00; Sa 06:00-14:00; Su 08:00-12:00,https://baecker-wiedemann.de/,OSM,node/1574282332
Lion,52.4328561,13.3394052,Steglitz-Zehlendorf,Lankwitz,steglitz-zehlendorf,lankwitz,artisanal,False,,Kaiser-Wilhelm-Straße,38,12247,Mo-Fr 06:00-18:00; Sa 06:00-16:00; Su 07:00-16:00,,OSM,node/1575193678
Lichterfelder Bäckerei,52.4184549,13.3233585,Steglitz-Zehlendorf,Lichterfelde,steglitz-zehlendorf,lichterfelde,artisanal,False,,,,,Mo-Fr 06:00-18:00; Sa 06:00-15:00; Su 08:00-16:00,,OSM,node/1576530415
BioBackHaus,52.451344,13.2700869,Steglitz-Zehlendorf,Dahlem,steglitz-zehlendorf,dahlem,artisanal,False,,Clayallee,177,14195,"Mo-Sa 08:00-20:00; Su,PH off",,OSM,node/1577132740
Öz Ege 1,52.4809982,13.4256476,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,,,,"Mo-Sa 05:00-20:00, Su,PH 07:00-20:00",,OSM,node/1578857504
Johns Bäckerei und Konditorei,52.5720239,13.4145382,Pankow,Pankow,pankow,pankow,artisanal,False,,Breite Straße,49,13187,Mo-Fr 06:00-18:00; Sa 07:00-12:00,,OSM,node/1579330503
Backstube Sowohlalsauch,52.5381962,13.4205593,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Sredzkistraße,53,10405,06:00-20:00,http://www.tortenundkuchen.de/backwaren.html,OSM,node/1584760347
La Perle,52.5131545,13.3943076,Mitte,Mitte,mitte,mitte,artisanal,False,,Taubenstraße,,,Mo-Fr 06:00-17:00; Sa 08:00-16:00,,OSM,node/1587088029
,52.5346305,13.5514942,Marzahn-Hellersdorf,Marzahn,marzahn-hellersdorf,marzahn,artisanal,False,,,,12685,,,OSM,node/1588325648
Steinecke,52.5507914,13.4502635,Pankow,Weißensee,pankow,weißensee,chain,True,Steinecke,Charlottenburger Straße,134,13086,Mo-Fr 06:00-19:00; Sa 06:30-13:00; Su 07:00-13:00,https://www.steinecke.info/,OSM,node/1597396553
Lieblings Bäckerei,52.5572488,13.5545272,Marzahn-Hellersdorf,Marzahn,marzahn-hellersdorf,marzahn,artisanal,False,,,,,,,OSM,node/1611170730
Bei Mutti,52.4491066,13.3432613,Steglitz-Zehlendorf,Steglitz,steglitz-zehlendorf,steglitz,artisanal,False,,,,,"Sa,Su 08:00-16:00; Mo-Fr 08:00-18:00",,OSM,node/1611355914
Peter Blank,52.5493103,13.4284309,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Kuglerstraße,100,10439,Mo-Fr 07:00-18:00; Sa 06:30-14:00; Jan 12-19 off,,OSM,node/1612129081
Round & Edgy,52.4936517,13.4272253,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,,,,,,OSM,node/1631217647
Hermsdorfer Backstube,52.6104638,13.295669,Reinickendorf,Hermsdorf,reinickendorf,hermsdorf,artisanal,False,,,,,,,OSM,node/1639508918
Thoben,52.5953434,13.3335825,Reinickendorf,Wittenau,reinickendorf,wittenau,artisanal,False,,,,,Mo-Fr 06:00-20:00; Su 09:00-18:00,http://www.thobens-backwaren.de,OSM,node/1640616143
Fein Bäckerei,52.5211231,13.1944419,Spandau,Wilhelmstadt,spandau,wilhelmstadt,artisanal,False,,Adamstraße,10,13595,,,OSM,node/1645273587
Round & Edgy,52.5240193,13.4073657,Mitte,Mitte,mitte,mitte,artisanal,False,,Rochstraße,3,10178,Tu-Sa 11:00-19:00; Su 10:00-19:00,https://www.round-egdy.com/,OSM,node/1652829055
Round & Edgy,52.5240866,13.4074231,Mitte,Mitte,mitte,mitte,artisanal,False,,Rochstraße,3,10178,,,OSM,node/1659260616
Backwerk,52.5387734,13.6037597,Marzahn-Hellersdorf,Hellersdorf,marzahn-hellersdorf,hellersdorf,chain,True,BackWerk,,,,Mo-Fr 05:30-19:00; Sa 06:30-18:00; Su 06:30-16:00,,OSM,node/1667989727
Werner's Backstube,52.4223439,13.539951,Treptow-Köpenick,Altglienicke,treptow-köpenick,altglienicke,artisanal,False,,Köpenicker Straße,45,12524,Mo 06:00-16:00; Tu-Th 06:00-17:00; Fr 06:00-18:00; Sa 06:00-13:00; PH off,,OSM,node/1683679255
Edeka Backstube,52.4641095,13.4858147,Treptow-Köpenick,Baumschulenweg,treptow-köpenick,baumschulenweg,chain,True,Edeka,Baumschulenstraße,31,12437,Mo-Sa 07:00-20:00,,OSM,node/1702700679
Bäckerei Sesam,52.49286,13.4605935,Treptow-Köpenick,Alt-Treptow,treptow-köpenick,alt-treptow,artisanal,False,,,,,,,OSM,node/1706140457
Wriezener Backstube,52.5281892,13.5700839,Marzahn-Hellersdorf,Biesdorf,marzahn-hellersdorf,biesdorf,artisanal,False,,Cecilienstraße,164,12683,Mo-Fr 07:00-18:00; Sa 07:00-13:00,,OSM,node/1715461120
La Femme du Boulanger,52.4768522,13.3307921,Tempelhof-Schöneberg,Friedenau,tempelhof-schöneberg,friedenau,artisanal,False,,Brünnhildestraße,8,12159,Tu-Sa 11:00-20:30,https://www.lafemmeduboulanger.de/,OSM,node/1718477871
Backwaren-Kaiser,52.5902732,13.3977693,Pankow,Niederschönhausen,pankow,niederschönhausen,artisanal,False,,,,,Mo-Fr 09:00-18:00; Sa 07:00-12:00; Su 07:00-11:00,,OSM,node/1734450884
Café Hennig,52.536407,13.4184737,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,,,,Mo-Sa 07:00-14:00,,OSM,node/1737166738
Backshop Ahrensfelde,52.571249,13.5684829,Marzahn-Hellersdorf,Marzahn,marzahn-hellersdorf,marzahn,artisanal,False,,,,,,,OSM,node/1737237304
Bajwa's Handwerksbäckerei,52.5661902,13.4146895,Pankow,Pankow,pankow,pankow,artisanal,False,,Kissingenstraße,4,13189,Tu-Fr 07:00-18:00; Sa 07:00-13:00,,OSM,node/1755252910
Canapé Ökol. Backwaren,52.5046876,13.4763072,Lichtenberg,Rummelsburg,lichtenberg,rummelsburg,artisanal,False,,Pfarrstraße,120,10317,"Mo-Fr 08:00-14:00; Sa,Su 08:00-12:00",,OSM,node/1758320048
Güli`s Backshop,52.5770192,13.2928372,Reinickendorf,Tegel,reinickendorf,tegel,artisanal,False,,Berliner Straße,52e,13507,,,OSM,node/1764332710
Edison Backshop,52.4628825,13.5137924,Treptow-Köpenick,Oberschöneweide,treptow-köpenick,oberschöneweide,artisanal,False,,Edisonstraße,61,12459,Su 05:00-16:00; Mo-Fr 05:00-18:00; Sa 05:00-17:00,,OSM,node/1765153939
Hofpfisterei,52.4951499,13.3235927,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,chain,True,Hofpfisterei,,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00,,OSM,node/1773535541
Bäckerei & Konditorei Kadakal,52.4676955,13.3457958,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,artisanal,False,,Grazer Platz,5,12157,,,OSM,node/1774557663
Back & Snack,52.4552211,13.5769762,Treptow-Köpenick,Köpenick,treptow-köpenick,köpenick,artisanal,False,,Bahnhofstraße,10,12555,,,OSM,node/1774677546
Wiedemann,52.4178415,13.4951916,Neukölln,Rudow,neukölln,rudow,artisanal,False,,Alt-Rudow,56,,Mo-Fr 06:00-18:00; Sa 06:00-14:00; Su 07:00-13:00,https://baecker-wiedemann.de/,OSM,node/1776499515
,52.4136578,13.4214839,Neukölln,Buckow,neukölln,buckow,artisanal,False,,,,,,,OSM,node/1777613516
Der Bäcker Feihl,52.5644094,13.444985,Pankow,Heinersdorf,pankow,heinersdorf,artisanal,False,,,,,Mo-Sa 07:00-20:00,,OSM,node/1784603254
Kamps,52.5224802,13.4018967,Mitte,Mitte,mitte,mitte,chain,True,Kamps,Hackescher Markt,,10178,,https://www.kamps.de,OSM,node/1811163265
Café Bäckerei,52.5046959,13.3419514,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,artisanal,False,,,,,Mo-Su 06:00-17:00,,OSM,node/1813041523
Café Bistro Bonjour,52.4998823,13.3622746,Mitte,Tiergarten,mitte,tiergarten,artisanal,False,,,,,,,OSM,node/1816857024
Bäcker Wiedemann,52.5200769,13.4043203,Mitte,Mitte,mitte,mitte,artisanal,False,,,,,"Mo-Fr 07:00-20:00; Sa,Su 08:00-20:00",,OSM,node/1819914688
Aux Delices Normands,52.4389828,13.2724213,Steglitz-Zehlendorf,Zehlendorf,steglitz-zehlendorf,zehlendorf,artisanal,False,,Berliner Straße,49,14169,Mo-Fr 06:00-18:00; Sa 06:00-14:00; Su 08:00-14:00,,OSM,node/1828605215
Steh-Café,52.4960956,13.427888,Friedrichshain-Kreuzberg,Kreuzberg,friedrichshain-kreuzberg,kreuzberg,artisanal,False,,,,,,,OSM,node/1834039246
John's Bäckerei & Konditorei,52.5656292,13.395729,Pankow,Pankow,pankow,pankow,artisanal,False,,Wollankstraße,110,13187,Mo-Fr 06:00-18:30; Su 08:00-11:00; Sa 07:00-12:00,,OSM,node/1845283662
Glückliche Bäckerei 2,52.5635991,13.3921077,Mitte,Gesundbrunnen,mitte,gesundbrunnen,artisanal,False,,Wollankstraße,96,13359,,,OSM,node/1847155514
Wollank Bäckerei & Café,52.56428,13.3924795,Mitte,Gesundbrunnen,mitte,gesundbrunnen,artisanal,False,,Wollankstraße,25,13359,,,OSM,node/1847159132
Bio-Konditorei Tillmann,52.5272941,13.3978767,Mitte,Mitte,mitte,mitte,artisanal,False,,Auguststraße,63,10115,"Mo-Fr 06:00-18:00; Sa,Su 07:00-18:00",http://www.tillmannkonditorei.de/,OSM,node/1860405870
DAG,52.5319219,13.4341949,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,,,,Mo-Su 06:00-18:00,,OSM,node/1863560210
Bäckerei Hannemann,52.5163336,13.4806017,Lichtenberg,Lichtenberg,lichtenberg,lichtenberg,artisanal,False,,Normannenstraße,41a,10367,Mo-Fr 06:00-18:00; Sa 06:00-11:30; PH off,,OSM,node/1898418739
Globus Trefferia,52.5334831,13.5086386,Lichtenberg,Lichtenberg,lichtenberg,lichtenberg,artisanal,False,,,,,,,OSM,node/1903667097
Aux Delices Normands,52.4969694,13.3226271,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,Pfalzburger Straße,76,10719,Mo-Fr 07:00-18:00; Sa 07:00-14:00; Su 08:00-14:00,,OSM,node/1905982600
Thürmann,52.4663503,13.4485637,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,,,,,,OSM,node/1906523489
Konditorei Damaskus,52.4858135,13.4304557,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,Sonnenallee,34,12045,,,OSM,node/1907577417
Hofpfisterei,52.5489207,13.4132429,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,chain,True,Hofpfisterei,Schönhauser Allee,118 A,10437,Mo-Fr 08:30-18:30; Sa 08:30-15:00,,OSM,node/1920573783
Schnell,52.6361296,13.4932779,Pankow,Buch,pankow,buch,artisanal,False,,,,,Mo-Fr 06:00-18:00; Sa 07:00-17:00; Su 07:00-17:00,,OSM,node/1933362461
Bäcker Wiedemann,52.4274836,13.3035211,Steglitz-Zehlendorf,Lichterfelde,steglitz-zehlendorf,lichterfelde,artisanal,False,,,,,Mo-Fr 07:00-18:30; Sa 07:00-13:00; Su 08:00-11:00,,OSM,node/1933863430
Spluffin Store,52.508131,13.4541356,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,artisanal,False,,Revaler Straße,12,10245,Su 12:00-16:00,,OSM,node/1940602081
Cinnamood,52.5101778,13.4555817,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,artisanal,False,,,,,"Mo-Th 09:30-20:30; Fr,Sa 09:30-22:30; Su 10:00-16:00",,OSM,node/1943486682
Steinecke,52.5186112,13.2869446,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,chain,True,Steinecke,,,,Mo-Fr 06:00-19:00; Sa 06:30-18:00; Su 07:00-12:00,,OSM,node/1948103193
Schlossbäckerei,52.5186749,13.2875981,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,artisanal,False,,Spandauer Damm,67,14059,,,OSM,node/1948910138
Deluxe Bäckerei & Konditorei,52.4469897,13.3155459,Steglitz-Zehlendorf,Lichterfelde,steglitz-zehlendorf,lichterfelde,artisanal,False,,,,,Mo-Fr 06:00-17:00; Sa 07:00-16:30; Su 07:00-16:00,,OSM,node/1952707967
Bäckerei Wahl,52.4370743,13.5454052,Treptow-Köpenick,Adlershof,treptow-köpenick,adlershof,chain,True,Bäckerei Wahl,,,,Mo-Fr 06:00-18:00; Sa 07:00-12:00; Su 07:00-11:00,https://www.baeckerwahl.de/,OSM,node/1979796734
C&M Kuchenschnecke,52.4401135,13.5538435,Treptow-Köpenick,Adlershof,treptow-köpenick,adlershof,artisanal,False,,Dörpfeldstraße,82,12489,Mo-Fr 05:00-14:00; Sa-Su off,,OSM,node/1979799599
Thoben,52.5498231,13.352638,Mitte,Wedding,mitte,wedding,artisanal,False,,Müllerstraße,138,13353,Mo-Fr 06:00-20:00; Sa 06:00-19:00; Su 09:00-16:00,http://www.thobens-backwaren.de/,OSM,node/1980037176
BackLiebe,52.3865206,13.4061129,Tempelhof-Schöneberg,Lichtenrade,tempelhof-schöneberg,lichtenrade,artisanal,False,,Bahnhofstraße,58,12305,Mo-Fr 06:00-17:00; Sa 08:00-13:00,,OSM,node/2025237204
Backhaus,52.4933094,13.3837152,Friedrichshain-Kreuzberg,Kreuzberg,friedrichshain-kreuzberg,kreuzberg,artisanal,False,,,,,Mo-Su 06:00-16:00,,OSM,node/2026821137
Mehlstübchen,52.4838029,13.3612466,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,artisanal,False,,Leberstraße,28,10829,Tu-Fr 07:00-18:00; Sa 08:00-14:00,https://www.mehlstuebchen.de/,OSM,node/2032547421
Sammy's Berliner Donuts,52.5263278,13.3992163,Mitte,Mitte,mitte,mitte,artisanal,False,,Sophienstraße,30-31,10178,Mo-Fr 10:00-17:00; Sa-Su 11:00-17:00,,OSM,node/2038221955
Wiener Feinbäcker Heberer,52.5212171,13.5873945,Marzahn-Hellersdorf,Hellersdorf,marzahn-hellersdorf,hellersdorf,chain,True,Wiener Feinbäcker Heberer,Hellersdorfer Straße,77-83,12619,Mo-Fr 07:00-19:30; Sa 08:00-16:00; Su 08:00-13:00,https://www.heberer.de,OSM,node/2038240180
Leckerback,52.4881534,13.3223463,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,,,,,,OSM,node/2055249976
Museumsbäckerei Alt-Pankow,52.5682848,13.399968,Pankow,Pankow,pankow,pankow,chain,True,Eigenmarke,Wollankstraße,130,13187,"Tu,We,Fr 15:00-18:00; Mo,Th,Sa,Su,PH off || closed ""während der Berliner Schulferien und an Brückentagen geschlossen""",,OSM,node/2055786818
Bonjour,52.5068459,13.3946569,Friedrichshain-Kreuzberg,Kreuzberg,friedrichshain-kreuzberg,kreuzberg,artisanal,False,,Markgrafenstraße,19,10969,Mo-Fr 05:00-19:00; Sa 07:00-15:00,,OSM,node/2059988683
Steinecke,52.6332974,13.2902696,Reinickendorf,Frohnau,reinickendorf,frohnau,chain,True,Steinecke,Zeltinger Platz,2,13465,Mo-Fr 06:00-20:00; Sa 06:30-18:00; Su 07:00-16:00,,OSM,node/2060755563
Junge,52.6321088,13.2891926,Reinickendorf,Frohnau,reinickendorf,frohnau,chain,True,Junge,Welfenallee,1,13465,Mo-Su 07:00-18:00,,OSM,node/2060766839
Bäcker Wiedemann,52.6330023,13.2890003,Reinickendorf,Frohnau,reinickendorf,frohnau,artisanal,False,,Ludolfingerplatz,2,,Mo-Fr 06:30-17:30; Sa 07:00-14:00; Su 08:00-12:00,https://baecker-wiedemann.de/,OSM,node/2060774408
Brotzeit,52.4287929,13.3278647,Steglitz-Zehlendorf,Lichterfelde,steglitz-zehlendorf,lichterfelde,artisanal,False,,Lankwitzer Straße,26,12209,"Mo-Fr 04:00-18:00; Sa,Su 05:00-16:00",,OSM,node/2063153963
Back-Factory,52.5062942,13.3065666,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,chain,True,Back-Factory,Wilmersdorfer Straße,65,10627,Mo-Fr 06:00-20:00; Sa 07:00-20:00; Su 07:00-17:00,,OSM,node/2082268407
Wiener Feinbäcker Heberer,52.502,13.3430121,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,chain,True,Wiener Feinbäcker Heberer,,,,,,OSM,node/2088402744
Back-Factory,52.5072374,13.3902583,Friedrichshain-Kreuzberg,Kreuzberg,friedrichshain-kreuzberg,kreuzberg,chain,True,Back-Factory,Friedrichstraße,207-208,10969,Mo-Fr 06:00-18:30; Sa 07:00-18:30; Su 07:30-18:30,,OSM,node/2096223250
ARDA,52.4472428,13.3414243,Steglitz-Zehlendorf,Steglitz,steglitz-zehlendorf,steglitz,artisanal,False,,,,,Mo-Fr 06:00-18:00; Sa 06:00-14:30; Su 06:00-16:00,,OSM,node/2098147189
Bärlin Back,52.4472168,13.3422589,Steglitz-Zehlendorf,Steglitz,steglitz-zehlendorf,steglitz,artisanal,False,,Albrechtstraße,70,12167,"Mo-Fr 06:00-18:00; Sa,Su 06:00-16:00",,OSM,node/2098147211
