id,district_id,name,latitude,longitude,geometry,neighborhood,district,neighborhood_id,external_id,school_name,school_type,school_subtype,grades_offered,is_primary,is_secondary,is_vocational,is_special_needs,languages,has_all_day_program,address,street,house_number,postal_code,city,ownership,official_school_id,is_barrier_free,accessibility_notes,phone,email,website,last_source_update,last_ingested_at,is_active,lat,lon,address_from_nominatim
237838613,11007007,Rückert-Gymnasium,52.4799688,13.3384592,POINT (13.3384592 52.4799688),Schöneberg,Tempelhof-Schöneberg,0701,07Y02,Rückert-Gymnasium,,,,,,,,,,"Mettestraße 8, 10825 Berlin",Mettestraße,8,10825,Berlin,Bezirksamt Tempelhof-Schöneberg von Berlin,,,,+49 30 902777173,sekretariat@rueckert-gymnasium-berlin.de,https://www.rueckert-gymnasium-berlin.de,,,True,52.4799688,13.3384592,False
256912446,11004004,Erwin von Witzleben Grundschule,52.53944109999999,13.288043699999998,POINT (13.2880437 52.5394411),Charlottenburg-Nord,Charlottenburg-Wilmersdorf,0406,04G09,Erwin von Witzleben Grundschule,,,,,,,,,,"Halemweg 34-42, 13627 Berlin",Halemweg,34-42,13627,Berlin,,,,,,Erwin-von-Witzleben-GS@t-online.de,,,,True,52.53944109999999,13.288043699999998,False
256913234,11004004,Sportschule im Olympiapark - Poelchau-Schule,52.521142,13.241634199999998,POINT (13.2416342 52.521142),Westend,Charlottenburg-Wilmersdorf,0405,04A08,Sportschule im Olympiapark - Poelchau-Schule,,,,,,,,,,"Prinz-Friedrich-Karl-Weg 1, 14053 Berlin",Prinz-Friedrich-Karl-Weg,1,14053,Berlin,,,,,,,,,,True,52.521142,13.241634199999998,False
256913872,11004004,Anna Freud Schule,52.5376587,13.2883255,POINT (13.2883255 52.5376587),Charlottenburg-Nord,Charlottenburg-Wilmersdorf,0406,04B05,Anna Freud Schule,,,,,,,,,,"Halemweg 22, 13627 Berlin",Halemweg,22,13627,Berlin,,,,,+4930 364178 10,post@anna-freud-osz.de,https://www.anna-freud-osz.de/,,,True,52.5376587,13.2883255,False
268915174,11004004,ABC-Kindergarten - Sabine Erdmann Vorschule,52.497834600000004,13.3019467,POINT (13.3019467 52.4978346),Wilmersdorf,Charlottenburg-Wilmersdorf,0402,,ABC-Kindergarten - Sabine Erdmann Vorschule,,,,,,,,,,"ABC-Kindergarten - Sabine Erdmann Vorschule, Cicerostraße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10709, Deutschland",,,10709,,,,,,,,,,,True,52.497834600000004,13.3019467,True
268915405,11007007,Freie Schule in Berlin,52.454544799999994,13.3814584,POINT (13.3814584 52.4545448),Tempelhof,Tempelhof-Schöneberg,0703,07P05,Freie Schule in Berlin,,,,,,,,,,"Viktoriastraße 13-18, 12105",Viktoriastraße,13-18,12105,,Freie Schule in Berlin e.V.,,,,+49 30 7520771,,https://freie-schule-in-berlin.de,,,True,52.454544799999994,13.3814584,False
298750707,11005005,Evangelische Schule Spandau,52.5721259,13.199677999999999,POINT (13.199678 52.5721259),Hakenfelde,Spandau,0507,05P03,Evangelische Schule Spandau,,,,,,,,,,"Schönwalder Allee 26/27, 13587 Berlin",Schönwalder Allee,26/27,13587,Berlin,Evangelische Schulstiftung in der EKBO,,,,+49 30 35599050,,https://www.ev-schule-spandau.de/,,,True,52.5721259,13.199677999999999,False
340239440,11007007,Sternberg Grundschule,52.4803608,13.3390601,POINT (13.3390601 52.4803608),Schöneberg,Tempelhof-Schöneberg,0701,07G06,Sternberg Grundschule,,,,,,,,,,"Mettestraße 8, 10825 Berlin",Mettestraße,8,10825,Berlin,Bezirksamt Tempelhof-Schöneberg von Berlin,,,,+49 30 902777156,Sekretariat@sternberg.schule.berlin.de,https://www.sternberg-grundschule.de,,,True,52.4803608,13.3390601,False
360713397,11008008,Peter-Petersen-Schule,52.4717574,13.4357615,POINT (13.4357615 52.4717574),Neukölln,Neukölln,0801,,Peter-Petersen-Schule,,,,,,,,,,"Jonasstraße 15-16, 12053 Berlin",Jonasstraße,15-16,12053,Berlin,,,,,,,,,,True,52.4717574,13.4357615,False
360713401,11008008,Konrad-Agahd-Grundschule,52.4725928,13.4354917,POINT (13.4354917 52.4725928),Neukölln,Neukölln,0801,08G14,Konrad-Agahd-Grundschule,,,,,,,,,,"Thomasstraße 39, 12053 Berlin",Thomasstraße,39,12053,Berlin,,,,,,,,,,True,52.4725928,13.4354917,False
506133476,11009009,Berliner Rettungsdienstschule,52.445113,13.517052200000002,POINT (13.5170522 52.445113),Johannisthal,Treptow-Köpenick,0904,,Berliner Rettungsdienstschule,,,,,,,,,,"Berliner Rettungsdienstschule, Groß-Berliner Damm, Eisenbahnsiedlung, Johannisthal, Treptow-Köpenick, Berlin, 12487, Deutschland",,,12487,,,,,,,,,,,True,52.445113,13.517052200000002,True
613697442,11001001,unknown_school_name,52.5353066,13.398209699999999,POINT (13.3982097 52.5353066),Mitte,Mitte,0101,,,,,,,,,,,,"Brunnenstraße, Arkonakiez, Rosenthaler Vorstadt, Mitte, Berlin, 10115, Deutschland",,,10115,,,,,,,,,,,True,52.5353066,13.398209699999999,True
727710608,11010010,bbw Akademie Betriebswirtschaftliche Weiterbildung,52.526422600000004,13.5311243,POINT (13.5311243 52.5264226),Marzahn,Marzahn-Hellersdorf,1001,10E04,bbw Akademie Betriebswirtschaftliche Weiterbildung,,,,,,,,,,"Allee der Kosmonauten 33 B, 12681 Berlin",Allee der Kosmonauten,33 B,12681,Berlin,,,,,,,http://www.bbw-gruppe.de/standorte/berlin/marzahn.html,,,True,52.526422600000004,13.5311243,False
850092123,11009009,Käpt´n Mosers Wassersportschule,52.4430497,13.5768735,POINT (13.5768735 52.4430497),Köpenick,Treptow-Köpenick,0910,,Käpt´n Mosers Wassersportschule,,,,,,,,,,"22b, Kietz, Köpenick, Treptow-Köpenick, Berlin, 12557, Deutschland",,,12557,,,,,,,,,,,True,52.4430497,13.5768735,True
867872391,11002002,Deutsch Praxis,52.503440999999995,13.4120982,POINT (13.4120982 52.503441),Kreuzberg,Friedrichshain-Kreuzberg,0202,,Deutsch Praxis,,,,,,,,,,"Deutsch Praxis, Oranienstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland",,,10969,,,,,,,,http://www.deutsch-praxis.de/,,,True,52.503440999999995,13.4120982,True
871633760,11002002,Yoga/Schiatsu-Zentrum,52.5023614,13.413923999999998,POINT (13.413924 52.5023614),Kreuzberg,Friedrichshain-Kreuzberg,0202,,Yoga/Schiatsu-Zentrum,,,,,,,,,,"Yoga/Schiatsu-Zentrum, Oranienstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland",,,10969,,,,,,,,,,,True,52.5023614,13.413923999999998,True
876244328,11002002,Atelier für physisches Theater – Internationale Schule für Bewegungsschauspiel,52.501676999999994,13.4213836,POINT (13.4213836 52.501677),Kreuzberg,Friedrichshain-Kreuzberg,0202,,Atelier für physisches Theater – Internationale Schule für Bewegungsschauspiel,,,,,,,,,,"Atelier für physisches Theater – Internationale Schule für Bewegungsschauspiel, 65, Naunynstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",,,10997,,,,,,,,https://www.apt-absurdacomica.de/,,,True,52.501676999999994,13.4213836,True
985919722,11003003,Jugendwerkstatt Buch Aktivierungshilfe,52.625603299999995,13.492998399999998,POINT (13.4929984 52.6256033),Buch,Pankow,0309,,Jugendwerkstatt Buch Aktivierungshilfe,,,,,,,,,,"Jugendwerkstatt Buch Aktivierungshilfe, 8 + 10, Friedrich-Richter-Straße, Buch IV, Buch, Pankow, Berlin, 13125, Deutschland",,,13125,,WERKSCHULEBERILIN e.V.,,,,,,,,,True,52.625603299999995,13.492998399999998,True
996413480,11003003,TING-Schule,52.56202449999999,13.4135424,POINT (13.4135424 52.5620245),Pankow,Pankow,0307,03P24,TING-Schule,,,,,,,,,,"100, Berliner Straße, Tiroler Viertel, Pankow, Berlin, 13189, Deutschland",,,13189,,,,,,+49 30 470045 06,ting@ting-schule.de,https://www.ting-schule.de/,,,True,52.56202449999999,13.4135424,True
