id,name,brand,operator,latitude,longitude,district_id,district_name,neighborhood_id,neighborhood_name,phone,website
26867411,Bavaria petrol,,Bavaria Petrol,52.5019744,13.2944957,11004004,Charlottenburg-Wilmersdorf,0407,Halensee,,
29997723,Aral,Aral,Anne Notzke,52.5083702,13.2809474,11004004,Charlottenburg-Wilmersdorf,0405,Westend,,https://tankstelle.aral.de/tankstelle/berlin/messedamm-6/28601500/
63253672,Späti Joe,,,52.4993218,13.2961178,11004004,Charlottenburg-Wilmersdorf,0407,Halensee,,
253616592,Mein Markt Pham,,,52.5110467,13.4626981,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
266629404,...nah und gut,EDEKA,Heinz Vollack,52.5092086,13.5874999,11010010,Marzahn-Hellersdorf,1003,Kaulsdorf,+49 30 5677706,
268424318,,,,52.5966222,13.2909504,11012012,Reinickendorf,1202,Tegel,,
269475044,Milchladen,,,52.501786,13.4165373,11002002,Friedrichshain-Kreuzberg,0202,Kreuzberg,,
270719151,Zeitungskiosk Bagci,,,52.4346233,13.3424786,11006006,Steglitz-Zehlendorf,0603,Lankwitz,,
271419848,Berlin Tag und Nacht 2,,,52.5289708,13.3159246,11001001,Mitte,0102,Moabit,,
277681454,Bagdad Lebensmittel,,,52.4990942,13.3931869,11002002,Friedrichshain-Kreuzberg,0202,Kreuzberg,,
277836772,Bistro,,,52.4690861,13.4672713,11008008,Neukölln,0801,Neukölln,,
278124916,Drinks & more,,,52.5083609,13.4530076,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
280244277,Mini-Laden,,,52.5563326,13.3432159,11001001,Mitte,0105,Wedding,,
281413022,Spreves,,,52.452062,13.5784714,11009009,Treptow-Köpenick,0910,Köpenick,,
282406641,Drink Oase,,,52.5108993,13.4611651,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
285079008,Drinkbox,,,52.5125022,13.4602102,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
285096511,Späti am Comenius,,H.Y. Soysüren,52.5114694,13.4490353,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
286210165,Spätverkauf,,,52.4992044,13.4635638,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
287297820,Midnight Shop,,,52.5291171,13.4094976,11003003,Pankow,0301,Prenzlauer Berg,,
291256974,Kiez Kiosk,,,52.5099551,13.4552692,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
292909486,tabak & presse,,,52.4996912,13.3304422,11004004,Charlottenburg-Wilmersdorf,0402,Wilmersdorf,,
307640296,Eckert,,,52.6378223,13.2050876,,,,,,
310267641,E-Kiezmarkt,,,52.492463,13.4177005,11002002,Friedrichshain-Kreuzberg,0202,Kreuzberg,,
310377176,Mein Markt,,,52.4808992,13.3430964,11007007,Tempelhof-Schöneberg,0701,Schöneberg,,
312698855,,,,52.4956016,13.4017916,11002002,Friedrichshain-Kreuzberg,0202,Kreuzberg,,
312820851,Spätkauf,,,52.5429183,13.376473,11001001,Mitte,0106,Gesundbrunnen,,
313011082,,,,52.5646647,13.4214042,11003003,Pankow,0307,Pankow,,
313874489,Asia Supermarket,,,52.5257591,13.4519646,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
313874493,Eren,,,52.5262878,13.4516579,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
314401614,Asia Lebensmittel,,,52.5231705,13.4531781,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
314401618,Mini Markt 25,,,52.5227042,13.4513021,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
314401620,Ja Dilo,,,52.5223054,13.4509232,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
314401622,Asia Shop,,,52.5231896,13.4503447,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
322153511,Kiezmarkt,Edeka,Kiezmarkt LH GmbH,52.5270008,13.3983824,11001001,Mitte,0101,Mitte,+49 30 28388905,
324227451,Linden Grill,,,52.5165439,13.382678,11001001,Mitte,0101,Mitte,,
331347585,Nice 2 See U,,,52.5087187,13.4616129,11002002,Friedrichshain-Kreuzberg,0201,Friedrichshain,,
345783262,Kiosk 24h,,,52.4430926,13.2952128,11006006,Steglitz-Zehlendorf,0602,Lichterfelde,,
364135228,Orange,,,52.4756969,13.4247724,11008008,Neukölln,0801,Neukölln,,
410135914,Multi-Kulti-Shop,,,52.4956379,13.4364652,11002002,Friedrichshain-Kreuzberg,0202,Kreuzberg,,
410135938,,,,52.4946108,13.4291461,11002002,Friedrichshain-Kreuzberg,0202,Kreuzberg,,
411666633,"Lotto, Zeitungen, Tabak",,,52.5090075,13.5879737,11010010,Marzahn-Hellersdorf,1003,Kaulsdorf,,
411899540,All in One Shop,,,52.5282633,13.3430149,11001001,Mitte,0102,Moabit,,
415551368,KIOSK,,,52.5430552,13.4165959,11003003,Pankow,0301,Prenzlauer Berg,,
420512359,Spätkauf am Atillaplatz,,Spätkauf,52.4550699,13.375534,11007007,Tempelhof-Schöneberg,0703,Tempelhof,+49 30 63412121,
427670051,Späti,,,52.5120271,13.4964222,11011011,Lichtenberg,1103,Lichtenberg,,
